State,District,Village,PIN_Code,Survey_Number,Land_Area,Land_Type,Guidance_Value_Per_Sqft,Total_Guidance_Value,Market_Value_Per_Sqft,Total_Market_Value,Nearby_Avg_Value_Per_Sqft,Total_Nearby_Avg_Value,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Total_Income,Credit_History,Property_Area,Loan_Amount,Loan_Amount_Term,LTV_Ratio,DTI_Ratio,Risk_Score,Loan_Approved
Maharashtra,Pune,Wakad,411057,159/1,42969,Industrial,4045,173809605,12678,544760982,11866,509870154,Female,Yes,1,Graduate,Yes,12107,29933,42040,1.0,Semiurban,487796342,360,0.8954318648320522,93.36155310088762,55,0
Maharashtra,Pune,Kothrud,411038,149/8,42120,Agricultural,1258,52986960,3910,164689200,3763,158497560,Male,Yes,0,Not Graduate,No,82800,20282,103082,1.0,Rural,95224483,120,0.5782072109160771,11.701980039184743,53,1
Tamil Nadu,Madurai,Sellur,625002,35/3,7220,Residential,1329,9595380,2634,19017480,2726,19681720,Male,No,0,Graduate,Yes,64326,0,64326,1.0,Semiurban,11619666,360,0.6109992491118698,1.4534474497006342,44,0
Tamil Nadu,Chennai,Tambaram,600045,323/8,18401,Industrial,4705,86576705,15205,279787205,14897,274119697,Male,Yes,1,Not Graduate,No,95546,48482,144028,1.0,Urban,174499676,120,0.6236871196450888,15.347627875460137,44,1
Telangana,Rangareddy,Kokapet,500089,99/1,1036,Residential,3395,3517220,9354,9690744,9735,10085460,Male,Yes,0,Graduate,Yes,97146,0,97146,1.0,Semiurban,6070603,300,0.6264331200989315,0.5244094417341693,40,1
Telangana,Hyderabad,Banjara Hills,500034,387/9,23537,Agricultural,1994,46932778,7905,186059985,8019,188743203,Male,No,1,Graduate,Yes,56685,0,56685,1.0,Rural,136520455,120,0.7337443083207816,30.508660615437993,59,0
Maharashtra,Mumbai Suburban,Kurla,400070,202/5,8062,Commercial,11802,95147724,58540,471949480,58865,474569630,Male,No,1,Not Graduate,No,37996,8423,46419,1.0,Urban,217941380,240,0.4617896390096669,42.242942855254356,38,0
Maharashtra,Pune,Wakad,411057,241/7,79328,Agricultural,1257,99715296,3366,267018048,3271,259481888,Female,No,0,Graduate,No,31330,13280,44610,1.0,Rural,81114427,300,0.3037788179771279,15.259119519552524,42,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,274/6,1971,Residential,2191,4318461,4669,9202599,4461,8792631,Female,No,1,Graduate,No,133594,19820,153414,1.0,Semiurban,4049898,240,0.44008198118814046,0.23751406971630318,24,0
Karnataka,Bengaluru Urban,Sarjapur,560035,57/5,48040,Industrial,3701,177796040,10193,489671720,9776,469639040,Female,Yes,2,Not Graduate,No,39101,30665,69766,1.0,Semiurban,265807128,360,0.5428271985974603,30.65596808387129,41,1
Karnataka,Mysuru,Gokulam,570002,105/4,2533,Commercial,2532,6413556,6026,15263858,6519,16512627,Male,Yes,3,Graduate,Yes,37278,60902,98180,1.0,Semiurban,5214444,300,0.34162031643638197,0.44570609525132593,26,1
Tamil Nadu,Chennai,Tambaram,600045,101/7,11992,Commercial,6022,72215824,24367,292209064,24951,299212392,Male,Yes,1,Graduate,Yes,24994,24754,49748,0.0,Semiurban,224424427,360,0.768026918562663,36.29833757318345,90,0
Maharashtra,Mumbai Suburban,Kurla,400070,419/5,4352,Commercial,13774,59944448,57127,248616704,59233,257782016,Male,No,3,Graduate,Yes,23260,0,23260,0.0,Urban,115501471,240,0.46457647109664846,44.677416765939704,78,0
Telangana,Hyderabad,Kondapur,500084,190/7,84482,Agricultural,2129,179862178,7158,604722156,7108,600498056,Male,Yes,2,Graduate,Yes,16448,0,16448,0.0,Rural,296103888,120,0.48965278527019934,228.04711285783696,89,0
Karnataka,Dharwad,Navanagar,580025,111/9,3141,Residential,1111,3489651,1878,5898798,1780,5590980,Female,No,2,Graduate,Yes,25158,21542,46700,1.0,Semiurban,2164670,360,0.3669679822906294,0.37296411996185436,25,1
Tamil Nadu,Coimbatore,Saravanampatti,641035,164/6,2414,Residential,1725,4164150,4443,10725402,4346,10491244,Female,No,3,Graduate,No,28068,14538,42606,1.0,Semiurban,3853495,360,0.35928676612774046,0.7277400439571022,34,1
Tamil Nadu,Madurai,Anna Nagar,625020,208/10,8925,Commercial,2068,18456900,3953,35280525,3840,34272000,Female,Yes,0,Not Graduate,No,15618,20955,36573,1.0,Rural,15215679,180,0.4312770005548387,4.219712565289187,37,1
Karnataka,Mysuru,Gokulam,570002,369/6,3526,Residential,2053,7238878,4857,17125782,4720,16642720,Male,No,3,Not Graduate,No,14723,34753,49476,1.0,Semiurban,15733558,180,0.9187059604051949,3.2254066879641163,56,0
Telangana,Medchal-Malkajgiri,Malkajgiri,500047,199/7,2544,Commercial,3268,8313792,9220,23455680,9130,23226720,Female,No,3,Not Graduate,No,38156,9186,47342,1.0,Rural,18873356,120,0.8046390469174204,5.050054865793379,52,1
Maharashtra,Mumbai Suburban,Bandra,400050,462/8,8847,Commercial,12914,114250158,57493,508640571,58100,514010700,Male,No,0,Graduate,No,30166,0,30166,1.0,Semiurban,293589838,180,0.5772049158854848,98.71324077864837,43,1
Tamil Nadu,Chennai,Adyar,600020,275/10,13196,Industrial,5523,72881508,22221,293228316,22812,301027152,Male,No,3,Not Graduate,No,23125,26675,49800,0.0,Urban,255470134,360,0.8712328245952891,41.27651561652891,94,0
Maharashtra,Mumbai Suburban,Kurla,400070,335/9,18003,Industrial,7482,134698446,35117,632211351,34982,629780946,Male,Yes,2,Graduate,Yes,81167,0,81167,1.0,Urban,468201073,120,0.7405768217533949,73.07123978091064,49,1
Tamil Nadu,Madurai,Sellur,625002,241/2,12884,Industrial,1506,19403304,3011,38793724,2989,38510276,Female,No,3,Not Graduate,No,12000,23600,35600,1.0,Semiurban,28816751,360,0.7428199210779558,6.513092584681501,49,0
Telangana,Medchal-Malkajgiri,Medchal,501401,9/1,29967,Agricultural,790,23673930,2258,67665486,2156,64608852,Female,Yes,3,Graduate,Yes,32988,0,32988,1.0,Rural,23639628,240,0.3493602041076007,6.447552715606418,43,1
Karnataka,Mysuru,Gokulam,570002,186/5,49024,Industrial,1827,89566848,3683,180555392,3602,176584448,Male,Yes,2,Graduate,Yes,54328,0,54328,1.0,Rural,71934140,120,0.39840482858578935,16.772774340227368,35,1
Karnataka,Bengaluru Urban,Yelahanka,560064,179/9,11967,Commercial,4874,58327158,15688,187738296,15476,185201292,Male,Yes,2,Not Graduate,Yes,41271,0,41271,0.0,Urban,69475939,360,0.37006801744914103,13.545082952406291,74,0
Karnataka,Mysuru,Hebbal,570016,125/9,46521,Industrial,1913,88994673,4178,194364738,4334,201622014,Male,Yes,3,Graduate,No,23128,18188,41316,1.0,Semiurban,97521664,360,0.5017456612937682,18.992191038941254,40,1
Telangana,Rangareddy,Puppalguda,500090,343/3,10342,Agricultural,1034,10693628,2648,27385616,2729,28223318,Female,Yes,0,Not Graduate,No,22525,42007,64532,1.0,Rural,18704331,360,0.6829983667338357,2.332165089788229,57,0
Maharashtra,Mumbai Suburban,Bandra,400050,254/2,47709,Industrial,8015,382387635,31497,1502690373,33024,1575542016,Female,No,1,Not Graduate,Yes,36782,68920,105702,1.0,Urban,1156392721,360,0.7695482328081701,88.02669177375229,50,1
Telangana,Hyderabad,Kondapur,500084,228/9,6756,Residential,4255,28746780,18843,127303308,19060,128769360,Male,No,2,Graduate,No,35017,14399,49416,0.0,Urban,89907406,120,0.7062456381730473,23.047373767459458,88,0
Telangana,Hyderabad,Jubilee Hills,500033,362/4,32338,Industrial,5375,173816750,19301,624155738,18826,608795188,Male,Yes,1,Graduate,No,14643,8000,22643,1.0,Semiurban,495998435,240,0.7946709527806984,197.08636931085263,51,0
Maharashtra,Pune,Hinjawadi,411057,447/6,2206,Commercial,5510,12155060,17519,38646914,17983,39670498,Male,Yes,0,Not Graduate,No,14037,25855,39892,1.0,Semiurban,18884441,180,0.4886403349048775,4.801428222920557,39,1
Karnataka,Dharwad,Vidyagiri,580004,72/7,8772,Commercial,2069,18149268,4324,37930128,4111,36061692,Female,No,3,Not Graduate,Yes,49278,8529,57807,1.0,Rural,14467401,360,0.3814224143931178,2.0137350239606877,35,0
Telangana,Medchal-Malkajgiri,Malkajgiri,500047,222/9,13221,Agricultural,771,10193391,2100,27764100,2188,28927548,Female,Yes,1,Graduate,No,62132,16484,78616,1.0,Rural,23322444,360,0.8400216106410797,2.3870161194703514,63,1
Telangana,Medchal-Malkajgiri,Alwal,500010,44/7,32152,Agricultural,797,25625144,2337,75139224,2446,78643792,Male,No,2,Graduate,No,39659,57949,97608,1.0,Rural,38339657,360,0.5102482426488727,3.1604945443104357,50,1
Tamil Nadu,Chennai,Tambaram,600045,166/10,29915,Industrial,4647,139015005,17170,513640550,17173,513730295,Male,No,0,Graduate,No,62199,0,62199,1.0,Semiurban,414744451,240,0.807460491583073,59.99394646369381,52,0
Telangana,Rangareddy,Gandi Maisamma,500043,489/3,61967,Agricultural,1146,71014182,2997,185715099,2838,175862346,Female,No,0,Graduate,No,30911,12903,43814,1.0,Rural,128562185,240,0.6922548876868649,26.40040507265062,57,0
Telangana,Rangareddy,Puppalguda,500090,288/8,93814,Agricultural,1186,111263404,3054,286507956,2815,264086410,Male,Yes,0,Graduate,Yes,12000,0,12000,1.0,Rural,205837316,300,0.7184349044743455,143.94827257296316,58,0
Karnataka,Mysuru,J P Nagar,570008,88/10,4089,Residential,1887,7715943,4552,18613128,4258,17410962,Male,No,1,Graduate,Yes,23588,0,23588,0.0,Semiurban,17104471,180,0.9189466166030772,7.3547962417603205,96,0
Telangana,Medchal-Malkajgiri,Malkajgiri,500047,464/7,14102,Industrial,2245,31658990,6384,90027168,6291,88715682,Female,Yes,2,Not Graduate,Yes,31994,12181,44175,1.0,Semiurban,82368025,360,0.914924092691664,15.002869457401964,56,0
Tamil Nadu,Madurai,Sellur,625002,131/1,40569,Industrial,1602,64991538,3401,137975169,3352,135987288,Male,No,2,Graduate,No,33565,0,33565,1.0,Semiurban,89504280,300,0.6486984625472718,22.37797297951875,45,1
Telangana,Rangareddy,Kokapet,500089,260/4,83605,Agricultural,1286,107516030,3524,294624020,3580,299305900,Female,Yes,3,Not Graduate,Yes,38029,19246,57275,1.0,Rural,145784032,240,0.49481380370819733,22.901034926039603,49,1
Karnataka,Dharwad,Lakamanahalli,580008,243/6,5299,Industrial,1488,7884912,3259,17269441,3143,16654757,Female,Yes,2,Not Graduate,Yes,24587,24372,48959,1.0,Rural,12931888,360,0.7488307235885632,2.125306800505896,49,1
Karnataka,Dharwad,Vidyagiri,580004,164/1,14178,Agricultural,493,6989754,970,13752660,941,13341498,Male,No,1,Not Graduate,Yes,47342,11450,58792,1.0,Rural,10906089,360,0.793016696406368,1.492598631074414,61,1
Tamil Nadu,Coimbatore,Gandhipuram,641012,469/8,14836,Commercial,3424,50798464,7975,118317100,8427,125022972,Male,Yes,0,Graduate,No,84673,0,84673,1.0,Semiurban,62746608,180,0.5303257770854762,7.516184352024646,41,0
Karnataka,Mysuru,J P Nagar,570008,12/3,3353,Residential,1643,5508979,3521,11805913,3573,11980269,Male,Yes,3,Not Graduate,Yes,34229,0,34229,1.0,Rural,4398752,180,0.37258888829690684,1.3034290121285466,34,0
Karnataka,Mysuru,Vijayanagar,570017,206/6,8548,Commercial,2956,25267888,6169,52732612,6333,54134484,Female,Yes,0,Not Graduate,No,36728,0,36728,1.0,Rural,27819789,240,0.5275632657832311,6.8150147706314135,41,1
Karnataka,Mysuru,Hebbal,570016,21/10,5589,Residential,1655,9249795,3388,18935532,3496,19539144,Female,No,1,Not Graduate,Yes,55543,25334,80877,1.0,Semiurban,12374002,120,0.6534805570817868,1.9381113020229817,46,1
Telangana,Hyderabad,Banjara Hills,500034,129/7,7709,Residential,4460,34382140,15182,117038038,15194,117130546,Male,No,2,Graduate,Yes,64336,26167,90503,1.0,Urban,44128418,300,0.3770433848181905,4.0918431343224295,35,1
Karnataka,Dharwad,Kelageri,580007,478/1,42422,Industrial,1214,51500308,2442,103594524,2341,99309902,Female,Yes,3,Not Graduate,Yes,25148,0,25148,1.0,Semiurban,72526985,360,0.7001044282997043,23.205365225789286,48,0
Telangana,Rangareddy,Puppalguda,500090,226/4,2219,Residential,3407,7560133,9294,20623386,9782,21706258,Male,No,2,Graduate,No,45111,11089,56200,1.0,Semiurban,17124455,300,0.830341584063839,2.557078356802221,53,0
Karnataka,Dharwad,Sattur,580009,284/3,2754,Commercial,1663,4579902,2876,7920504,2800,7711200,Male,Yes,0,Not Graduate,No,38759,21591,60350,1.0,Semiurban,3375351,120,0.42615356295508466,0.7084924599895214,37,0
Telangana,Rangareddy,Kokapet,500089,128/7,39494,Agricultural,1349,53277406,3517,138900398,3422,135148468,Female,No,0,Graduate,No,32052,0,32052,1.0,Rural,94446057,300,0.6799552654989512,24.72818781793616,57,0
Tamil Nadu,Coimbatore,Peelamedu,641004,466/8,3649,Commercial,3008,10976192,8211,29961939,8174,29826926,Female,Yes,1,Graduate,Yes,33620,8000,41620,1.0,Semiurban,10459275,240,0.3490853846274769,2.2610478608541067,33,1
Tamil Nadu,Coimbatore,Saravanampatti,641035,59/1,27944,Agricultural,815,22774360,2126,59408944,2096,58570624,Male,No,1,Graduate,No,26128,0,26128,1.0,Rural,49057644,180,0.8257619256790695,19.043757274534865,63,1
Tamil Nadu,Madurai,Tallakulam,625002,125/9,41369,Industrial,1478,61143382,3225,133415025,3199,132339431,Male,Yes,2,Not Graduate,No,38395,24243,62638,1.0,Semiurban,44145784,120,0.3308906474364488,8.927809550131478,33,0
Telangana,Medchal-Malkajgiri,Alwal,500010,351/8,49006,Agricultural,913,44742478,2400,117614400,2366,115948196,Male,Yes,0,Graduate,Yes,19602,47071,66673,1.0,Rural,101898282,240,0.8663759029506591,13.75077305235106,64,1
Telangana,Medchal-Malkajgiri,Alwal,500010,31/2,30929,Agricultural,787,24341123,1793,55455697,1797,55579413,Male,Yes,0,Graduate,Yes,21596,39406,61002,1.0,Rural,35487859,300,0.6399317098115276,4.882017347953507,55,1
Karnataka,Bengaluru Urban,Sarjapur,560035,290/2,21091,Industrial,4125,87000375,13819,291456529,13896,293080536,Female,No,3,Graduate,Yes,46925,0,46925,1.0,Urban,219812752,120,0.7541870918252787,59.339265721409824,50,0
Tamil Nadu,Chennai,Tambaram,600045,59/7,5407,Commercial,6872,37156904,27872,150703904,27454,148443778,Female,Yes,1,Graduate,No,24643,0,24643,1.0,Urban,131624653,360,0.8733990925676351,42.97698038035497,54,0
Maharashtra,Nagpur,Somalwada,440025,186/5,65091,Agricultural,618,40226238,1143,74399013,1128,73422648,Male,No,3,Not Graduate,Yes,105365,0,105365,1.0,Rural,55414688,120,0.7448309562923906,6.662267811444625,59,0
Tamil Nadu,Chennai,Tambaram,600045,124/10,62532,Agricultural,1587,99238284,6207,388136124,6299,393889068,Male,Yes,2,Not Graduate,No,17744,0,17744,1.0,Rural,253804499,360,0.6539058935931457,115.09064482514604,56,0
Maharashtra,Mumbai Suburban,Bandra,400050,374/3,12262,Commercial,12558,153986196,60960,747491520,64767,794172954,Female,No,3,Not Graduate,Yes,63037,40148,103185,1.0,Urban,368481148,120,0.4929569609030481,45.236841144817525,39,1
Tamil Nadu,Coimbatore,Peelamedu,641004,351/5,11259,Commercial,3153,35499627,7487,84296133,7205,81121095,Female,Yes,3,Not Graduate,No,24285,0,24285,1.0,Semiurban,54802693,360,0.6501210796941302,18.15749897355629,46,1
Tamil Nadu,Chennai,Velachery,600042,194/9,1048,Commercial,5794,6072112,21358,22383184,21659,22698632,Female,Yes,0,Not Graduate,Yes,83740,18957,102697,1.0,Semiurban,21086980,360,0.942090276343169,1.6521476801719879,57,1
Telangana,Medchal-Malkajgiri,Kompally,500014,197/6,5590,Commercial,2868,16032120,8392,46911280,8395,46928050,Male,Yes,3,Graduate,Yes,43183,25750,68933,1.0,Semiurban,19945583,120,0.4251766952425941,3.6653303344186527,37,0
Tamil Nadu,Madurai,Tallakulam,625002,396/7,7746,Residential,1427,11053542,2641,20457186,2686,20805756,Female,No,2,Not Graduate,Yes,33503,0,33503,0.0,Semiurban,12657191,120,0.6187161323165365,4.7857190801709875,84,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,183/9,5329,Residential,2071,11036359,5371,28622059,5670,30215430,Male,No,1,Not Graduate,No,59070,35457,94527,1.0,Semiurban,24011298,180,0.8389088290258923,2.576391634533054,53,0
Maharashtra,Pune,Kothrud,411038,419/3,11773,Industrial,3433,40416709,9229,108653017,9180,108076140,Male,Yes,1,Graduate,No,12719,48175,60894,0.0,Semiurban,40634992,180,0.37398862104307695,6.768271838486763,74,0
Karnataka,Mysuru,Gokulam,570002,219/8,34710,Agricultural,783,27177930,1942,67406820,1868,64838280,Male,No,0,Graduate,Yes,13393,40926,54319,0.0,Rural,34655524,360,0.5141248912202059,5.133492592365963,90,0
Karnataka,Mysuru,Ramakrishnanagar,570020,428/1,8802,Commercial,2839,24988878,6850,60293700,6939,61077078,Male,No,3,Graduate,Yes,71397,0,71397,0.0,Rural,26624957,180,0.44158771148561127,3.7823443827953978,77,0
Maharashtra,Pune,Hinjawadi,411057,225/5,7629,Residential,3296,25145184,10121,77213109,10240,78120960,Female,No,3,Graduate,Yes,18871,17214,36085,0.0,Rural,43531240,120,0.5637804326723846,15.28156715895187,82,0
Tamil Nadu,Chennai,Guindy,600032,307/5,43843,Agricultural,1582,69359626,5240,229737320,5158,226142194,Female,No,1,Graduate,Yes,18705,0,18705,1.0,Rural,139149754,300,0.6056906818622242,62.42927963511507,54,0
Maharashtra,Nagpur,Dharampeth,440010,334/10,48358,Industrial,1553,75099974,3609,174524022,3630,175539540,Male,Yes,0,Not Graduate,No,31921,18309,50230,0.0,Semiurban,159638908,120,0.9147102282572883,40.259570359436175,96,0
Karnataka,Bengaluru Urban,Electronic City,560100,111/10,17590,Industrial,4351,76534090,13935,245116650,13397,235653230,Male,No,0,Graduate,No,57976,0,57976,1.0,Urban,209118717,240,0.8531395847650496,32.45300426710816,54,1
Telangana,Hyderabad,Banjara Hills,500034,345/4,13017,Commercial,6903,89856351,25369,330228273,25056,326153952,Female,No,2,Graduate,No,79712,50889,130601,1.0,Semiurban,132403663,120,0.40094587237235135,12.842425753165896,36,1
Maharashtra,Mumbai Suburban,Borivali,400092,4/10,67569,Agricultural,3114,210409866,15047,1016710743,15029,1015494501,Female,Yes,2,Not Graduate,No,25918,0,25918,1.0,Rural,493363613,240,0.4852546472994237,171.26786337221952,49,1
Telangana,Rangareddy,Rajendranagar,500030,318/2,8658,Commercial,3877,33567066,10918,94528044,10734,92934972,Male,Yes,1,Not Graduate,Yes,32031,8021,40052,0.0,Semiurban,67866671,240,0.7179527696563783,15.245532167143724,88,0
Maharashtra,Mumbai Suburban,Ghatkopar,400086,304/3,5995,Residential,9096,54530520,38099,228403505,37453,224530735,Female,Yes,1,Not Graduate,Yes,22392,0,22392,1.0,Urban,82308024,120,0.36036235083170026,46.56320393914814,34,0
Telangana,Rangareddy,Gandi Maisamma,500043,428/10,13835,Commercial,4896,67736160,12958,179273930,13466,186302110,Female,No,1,Graduate,No,64790,58066,122856,1.0,Semiurban,114072900,360,0.6363050109963004,7.470993302767496,45,1
Telangana,Medchal-Malkajgiri,Malkajgiri,500047,242/6,6842,Residential,2217,15168714,5651,38664142,5825,39854650,Female,No,1,Not Graduate,Yes,17316,15436,32752,1.0,Rural,35341516,360,0.914064406239766,8.682395911918618,56,0
Karnataka,Mysuru,J P Nagar,570008,105/6,5531,Residential,1995,11034345,4184,23141704,4336,23982416,Female,No,3,Graduate,Yes,35744,26058,61802,1.0,Semiurban,21385429,240,0.9241077925808747,3.1133337996004906,56,0
Maharashtra,Nagpur,Dharampeth,440010,430/8,26504,Industrial,1424,37741696,2923,77471192,2940,77921760,Female,No,1,Not Graduate,Yes,22342,28408,50750,0.0,Rural,53984901,300,0.6968383938122444,8.926883272982645,87,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,302/9,69897,Agricultural,683,47739651,1791,125185527,1857,129798729,Female,Yes,0,Not Graduate,No,27328,21836,49164,1.0,Rural,115945967,180,0.926193065433195,23.919965807587786,67,0
Maharashtra,Nagpur,Wardha Road,440015,53/6,36485,Industrial,1812,66110820,3674,134045890,3525,128609625,Female,Yes,0,Not Graduate,No,50401,22111,72512,1.0,Rural,99731334,180,0.7440088912834254,13.949988894262699,49,1
Telangana,Medchal-Malkajgiri,Medipally,500098,455/7,12444,Agricultural,981,12207564,2936,36535584,2921,36348924,Female,No,3,Graduate,No,27949,0,27949,1.0,Rural,30548702,240,0.8361355877053998,9.834147950528466,63,0
Tamil Nadu,Chennai,Tambaram,600045,426/9,6425,Commercial,7360,47288000,23694,152233950,25100,161267500,Male,No,3,Not Graduate,Yes,34004,20889,54893,0.0,Urban,143901521,120,0.9452656322719079,33.20794366588214,97,0
Telangana,Rangareddy,Kokapet,500089,294/4,41653,Industrial,3664,152616592,11532,480342396,11204,466680212,Male,Yes,0,Graduate,No,29085,18858,47943,1.0,Semiurban,445971358,360,0.9284447130084266,74.84693097144066,57,0
Karnataka,Mysuru,Ramakrishnanagar,570020,441/6,12601,Commercial,2691,33909291,6006,75681606,6019,75845419,Female,No,3,Graduate,Yes,94768,30839,125607,1.0,Semiurban,37661360,240,0.4976289747339664,2.697692256372445,39,1
Maharashtra,Pune,Wakad,411057,400/10,21030,Industrial,3237,68074110,9363,196903890,9057,190468710,Female,No,0,Not Graduate,Yes,30415,33462,63877,1.0,Semiurban,116217675,240,0.5902253886401126,16.369594490357944,43,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,89/7,7359,Commercial,2770,20384430,6615,48679785,6763,49768917,Female,No,2,Not Graduate,No,29723,44528,74251,1.0,Semiurban,44377312,360,0.9116168446512243,4.808957308913691,56,0
Telangana,Rangareddy,Kokapet,500089,435/4,35126,Industrial,3584,125891584,11963,420212338,12923,453933298,Female,No,3,Not Graduate,No,45332,0,45332,1.0,Semiurban,387811206,300,0.9228934301305546,71.79249842319828,56,0
Maharashtra,Mumbai Suburban,Borivali,400092,306/8,36177,Agricultural,3006,108748062,11893,430253061,12471,451163367,Male,Yes,0,Graduate,Yes,34051,28814,62865,1.0,Rural,138443878,300,0.3217731389945881,18.48112606141822,42,1
Maharashtra,Nagpur,Sitabuldi,440012,77/4,44523,Agricultural,571,25422633,1196,53249508,1218,54229014,Female,Yes,2,Graduate,Yes,14150,11203,25353,1.0,Rural,30221843,120,0.5675515912747964,15.100285355514306,52,0
Karnataka,Bengaluru Urban,Kengeri,560060,239/1,1374,Residential,3037,4172838,9097,12499278,9475,13018650,Female,Yes,0,Not Graduate,No,17741,23998,41739,1.0,Urban,10954060,360,0.8763754194442271,2.1116664087232926,55,1
Tamil Nadu,Coimbatore,Saravanampatti,641035,219/2,50162,Agricultural,792,39728304,1911,95859582,1895,95056990,Female,Yes,2,Not Graduate,No,102694,0,102694,1.0,Rural,77481643,300,0.8082827129373462,6.33165647983845,62,0
Telangana,Rangareddy,Rajendranagar,500030,9/6,7043,Commercial,4370,30777910,14987,105553441,14419,101553017,Male,No,1,Graduate,Yes,138521,0,138521,1.0,Rural,65722505,240,0.6226467311473057,4.2688288152693525,44,0
Maharashtra,Pune,Kothrud,411038,349/4,16451,Industrial,3957,65096607,9809,161367859,9215,151595965,Female,No,0,Not Graduate,No,53254,0,53254,0.0,Semiurban,110376826,120,0.6840075011468052,26.255435906498263,87,0
Maharashtra,Mumbai Suburban,Borivali,400092,234/5,26803,Agricultural,2722,72957766,11727,314318781,11243,301346129,Male,Yes,3,Graduate,No,49045,8000,57045,1.0,Rural,247059982,300,0.7860172440666217,36.34531308512393,61,0
Tamil Nadu,Coimbatore,R S Puram,641002,49/4,2467,Residential,2251,5553217,4835,11927945,4630,11422210,Female,Yes,2,Not Graduate,No,26223,13729,39952,1.0,Semiurban,8400857,360,0.7043004473947524,1.6919101781935537,48,0
Maharashtra,Nagpur,Manish Nagar,440015,356/2,41069,Industrial,1700,69817300,3365,138197185,3467,142386223,Female,Yes,1,Not Graduate,No,25021,0,25021,1.0,Rural,119192040,300,0.8624780598823341,39.97663024747955,54,0
Telangana,Hyderabad,Kondapur,500084,106/2,6096,Commercial,7573,46165008,33665,205221840,34364,209482944,Male,Yes,0,Not Graduate,No,32830,0,32830,1.0,Urban,170473607,240,0.8306796537834374,46.719320440237986,53,0
Karnataka,Dharwad,Kelageri,580007,449/6,20870,Industrial,1509,31492830,3256,67952720,3363,70185810,Male,No,1,Not Graduate,Yes,27357,0,27357,0.0,Semiurban,38123196,180,0.5610253128940239,14.134255870252614,82,0
Maharashtra,Nagpur,Somalwada,440025,186/4,1314,Residential,1419,1864566,2532,3327048,2366,3108924,Female,Yes,0,Graduate,No,12000,0,12000,1.0,Semiurban,1674704,300,0.5033603362500331,1.1711712558039364,40,1
Tamil Nadu,Chennai,Mylapore,600004,167/5,7215,Residential,4578,33030270,19093,137755995,18390,132683850,Female,No,1,Graduate,No,56882,0,56882,1.0,Urban,107027133,120,0.7769326699720037,23.834859683284325,51,1
Karnataka,Dharwad,Lakamanahalli,580008,329/7,941,Residential,1041,979581,2188,2058908,2283,2148303,Male,Yes,2,Graduate,Yes,19079,25426,44505,1.0,Rural,1855664,180,0.9012855358277301,0.4229048391488568,48,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,88/7,14568,Industrial,1890,27533520,4228,61593504,4254,61972272,Male,Yes,0,Not Graduate,Yes,126051,0,126051,1.0,Semiurban,55990876,240,0.9090386544658995,3.996512873994523,56,0
Telangana,Rangareddy,Puppalguda,500090,26/4,3388,Commercial,3866,13098008,13196,44708048,13779,46683252,Female,No,1,Not Graduate,Yes,20918,8000,28918,0.0,Semiurban,23573270,240,0.5272712868161902,7.334353303570145,81,0
Karnataka,Mysuru,Ramakrishnanagar,570020,453/1,11350,Commercial,3062,34753700,6943,78803050,6779,76941650,Male,Yes,2,Graduate,No,30589,42641,73230,0.0,Rural,37137395,300,0.4712684978563647,4.255846898657755,78,0
Maharashtra,Mumbai Suburban,Ghatkopar,400086,12/5,5998,Residential,8006,48019988,38990,233862020,39353,236039294,Female,Yes,0,Graduate,No,117595,0,117595,0.0,Urban,90609651,360,0.387449193332034,6.199802245679946,75,0
Tamil Nadu,Madurai,Sellur,625002,178/7,2213,Commercial,1778,3934714,3636,8046468,3627,8026551,Male,Yes,0,Graduate,Yes,17366,29673,47039,1.0,Semiurban,6758712,240,0.8399600918067406,1.292754653482433,53,0
Tamil Nadu,Chennai,Guindy,600032,316/1,9338,Commercial,5771,53889598,19902,185844876,20941,195547058,Female,Yes,1,Not Graduate,No,27469,0,27469,1.0,Urban,111272935,360,0.5987409359620978,32.59409521818288,43,0
Maharashtra,Mumbai Suburban,Borivali,400092,226/3,10642,Commercial,11490,122276580,45732,486679944,46544,495321248,Female,Yes,1,Not Graduate,No,34078,0,34078,1.0,Semiurban,386151565,300,0.7934404730678608,95.09272526553882,51,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,353/3,7022,Commercial,3246,22793412,9101,63907222,8952,62860944,Male,Yes,0,Graduate,Yes,177478,0,177478,1.0,Semiurban,40355468,240,0.6314696013542882,2.045823258098523,45,1
Maharashtra,Nagpur,Wardha Road,440015,249/7,37924,Industrial,1411,53510764,3340,126666160,3360,127424640,Female,No,2,Not Graduate,No,14738,0,14738,1.0,Semiurban,44682072,300,0.3527546110184441,25.442415756595317,34,1
Maharashtra,Nagpur,Somalwada,440025,308/3,22992,Industrial,1668,38350656,3423,78701616,3481,80035152,Female,No,1,Not Graduate,No,42287,0,42287,1.0,Rural,29637501,360,0.37658059016221473,5.639322632091086,35,0
